epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2919.28,0.62253,0.39671,0.83187,0.83348,0.89347,0.93991,0.77249,0.66891,0.50411,0.8875,0.00044075,0.00044075,0.00044075
128,2943.01,0.61857,0.39827,0.83306,0.84799,0.8887,0.94352,0.78438,0.65074,0.5016,0.88819,0.000428375,0.000428375,0.000428375
129,2966.61,0.62914,0.3999,0.83664,0.8672,0.89635,0.94559,0.76909,0.68472,0.49414,0.90481,0.000416,0.000416,0.000416
130,2990.53,0.62584,0.39476,0.82628,0.83641,0.87524,0.93666,0.77023,0.67688,0.5116,0.88815,0.000403625,0.000403625,0.000403625
131,3014.44,0.60875,0.38711,0.83431,0.85278,0.88944,0.93972,0.78146,0.63555,0.48326,0.87549,0.00039125,0.00039125,0.00039125
132,3038.79,0.6143,0.39329,0.84144,0.88065,0.87524,0.93674,0.78132,0.64829,0.47838,0.88034,0.000378875,0.000378875,0.000378875
133,3062.75,0.61065,0.38951,0.83647,0.86512,0.8618,0.93059,0.78173,0.65081,0.4895,0.88282,0.0003665,0.0003665,0.0003665
134,3086.41,0.60535,0.3835,0.83348,0.85809,0.87524,0.93281,0.77987,0.63875,0.49,0.87436,0.000354125,0.000354125,0.000354125
135,3110.02,0.60593,0.38301,0.83177,0.87181,0.88764,0.933,0.78432,0.63038,0.49058,0.87259,0.00034175,0.00034175,0.00034175
136,3133.84,0.59398,0.37577,0.83361,0.86243,0.87836,0.93354,0.78273,0.64172,0.48749,0.88499,0.000329375,0.000329375,0.000329375
137,3157.5,0.59058,0.37723,0.82936,0.85965,0.88173,0.92854,0.76909,0.66544,0.49767,0.88974,0.000317,0.000317,0.000317
138,3181.32,0.59669,0.37404,0.82291,0.84288,0.89443,0.9327,0.77042,0.67413,0.50062,0.89139,0.000304625,0.000304625,0.000304625
139,3205.03,0.60483,0.38073,0.83372,0.8737,0.87716,0.93385,0.77356,0.66056,0.48785,0.87916,0.00029225,0.00029225,0.00029225
140,3228.79,0.59249,0.37552,0.82753,0.86375,0.85174,0.93104,0.77038,0.64396,0.51557,0.87533,0.000279875,0.000279875,0.000279875
141,3252.35,0.58592,0.37078,0.82343,0.86165,0.88484,0.93221,0.77927,0.63433,0.50231,0.87926,0.0002675,0.0002675,0.0002675
142,3275.9,0.59644,0.38336,0.83933,0.88413,0.86406,0.94198,0.77547,0.65259,0.50011,0.87576,0.000255125,0.000255125,0.000255125
143,3299.19,0.58999,0.37898,0.82644,0.89836,0.85221,0.93344,0.77254,0.63906,0.5108,0.87199,0.00024275,0.00024275,0.00024275
144,3322.7,0.57358,0.35927,0.82358,0.85512,0.88364,0.93069,0.77121,0.64219,0.49278,0.88066,0.000230375,0.000230375,0.000230375
145,3346.3,0.57741,0.36403,0.82296,0.89509,0.85221,0.9324,0.77455,0.65201,0.49518,0.88955,0.000218,0.000218,0.000218
146,3369.95,0.58226,0.36554,0.82765,0.87998,0.87252,0.93622,0.77628,0.63778,0.51122,0.87549,0.000205625,0.000205625,0.000205625
147,3393.89,0.58519,0.36681,0.82821,0.88521,0.85846,0.93248,0.77903,0.64605,0.49058,0.8884,0.00019325,0.00019325,0.00019325
148,3417.49,0.56317,0.3584,0.82252,0.87137,0.8906,0.93428,0.77758,0.64303,0.48776,0.885,0.000180875,0.000180875,0.000180875
149,3441.4,0.57385,0.36508,0.82155,0.8733,0.88637,0.93233,0.77683,0.64587,0.48766,0.8854,0.0001685,0.0001685,0.0001685
150,3465.13,0.57105,0.36153,0.82391,0.86228,0.88292,0.93282,0.77423,0.64646,0.48119,0.88426,0.000156125,0.000156125,0.000156125
151,3511.74,0.54315,0.34677,0.81907,0.83759,0.89089,0.92614,0.76345,0.65162,0.50898,0.88675,0.00014375,0.00014375,0.00014375
152,3535.6,0.54038,0.33949,0.82394,0.86462,0.881,0.92862,0.77122,0.65002,0.47857,0.89728,0.000131375,0.000131375,0.000131375
153,3559.42,0.52098,0.33451,0.82583,0.88123,0.86756,0.93071,0.76867,0.65767,0.48879,0.8942,0.000119,0.000119,0.000119
154,3583.32,0.52924,0.33631,0.82535,0.88535,0.85221,0.93061,0.77816,0.6408,0.48558,0.8951,0.000106625,0.000106625,0.000106625
155,3607.2,0.51501,0.32642,0.81883,0.83868,0.89635,0.927,0.77767,0.63631,0.47802,0.89262,9.425e-05,9.425e-05,9.425e-05
156,3630.49,0.51888,0.32475,0.81731,0.84575,0.89457,0.93436,0.78023,0.63192,0.48595,0.88486,8.1875e-05,8.1875e-05,8.1875e-05
157,3654.2,0.51215,0.32931,0.82153,0.84668,0.89034,0.93185,0.77804,0.63195,0.48982,0.88223,6.95e-05,6.95e-05,6.95e-05
158,3677.93,0.50801,0.31875,0.8192,0.84298,0.89251,0.92849,0.77572,0.6384,0.49316,0.88567,5.7125e-05,5.7125e-05,5.7125e-05
159,3701.87,0.51259,0.32196,0.81702,0.84723,0.88868,0.93096,0.78024,0.63251,0.49132,0.88314,4.475e-05,4.475e-05,4.475e-05
160,3725.72,0.50732,0.32209,0.81485,0.84127,0.89523,0.93093,0.78045,0.62831,0.49567,0.88192,3.2375e-05,3.2375e-05,3.2375e-05
